"Возраст";"Пол";"Состоит.в.браке";"Иждивенцы";"Доход";"Опыт.работы";"Срок.проживания";"Недвижимость";"Месячный.платеж";"Благонадежный.заемщик"
37;0;1;1;17500;12.5;8;0;5535;0
32;0;1;1;30000;14;24;34;7175;1
24;0;0;0;10500;6;3;0;5842;1
37;0;0;3;13000;13.5;21;0;7585;0
27;0;1;1;12800;5;3;10;7482;0
37;1;0;0;2500;8;7;39;3075;0
54;0;1;0;14100;26;2;38;3998;1
40;1;1;2;7800;18.5;3;0;3382;0
28;0;0;0;4500;10;4;0;3178;0
35;0;1;0;8000;12.5;15;0;5330;0
32;0;1;1;14500;14;16;35;4612;1
26;0;1;2;12500;8;4;34;4818;0
36;0;1;0;8500;8;3;29;3382;1
37;0;0;2;26500;15.5;31;30;820;1
31;1;1;1;11400;12.5;3;35;5842;1
35;0;1;1;8500;15.5;28;0;4408;0
38;0;1;2;11000;4.5;8;24;6458;1
51;0;1;0;12000;14.5;2;36;2870;1
36;1;1;0;19100;8.5;32;64;6560;1
30;1;0;2;10500;12;8;0;6970;0
37;0;1;2;9000;15.5;4;0;6560;0
36;0;0;1;16000;13.5;19;39;6355;1
27;0;0;1;10000;9;23;33;4920;0
27;0;1;0;6500;9;23;0;4818;0
34;0;0;0;11300;15.5;34;21;3844;1
34;1;1;1;9000;4.5;3;0;4100;0
32;0;1;1;32500;14;7;0;3007;1
33;0;1;0;24000;12.5;15;0;4920;1
36;0;0;0;6500;17.5;6;0;3588;0
32;0;1;1;10500;11;16;30;3639;1
45;1;1;0;14000;2;4;0;7278;0
22;0;0;0;13000;4;5;0;2306;1
29;0;1;2;11000;11;9;0;4510;0
35;0;1;0;11500;5;28;36;1589;1
32;1;1;1;27000;14;2;0;3792;1
34;0;1;1;13500;6;3;0;3758;0
35;1;1;1;9500;8.5;16;0;4408;0
27;1;0;2;19500;9;22;0;9840;1
40;0;0;1;5500;8.5;11;0;3553;0
40;1;0;0;12000;20.5;8;0;5125;1
35;0;1;1;7000;15.5;32;0;6458;0
24;0;1;2;22000;6;5;0;820;1
31;0;1;1;21500;13;27;0;3690;1
26;1;1;1;14000;5;24;0;4715;1
32;1;1;1;9500;14;31;0;3792;0
24;0;0;3;14000;6;20;0;5022;0
40;0;1;2;15500;19;9;0;5945;0
30;0;1;0;16900;12;19;0;6252;1
24;0;1;3;14500;6;3;0;1538;1
40;0;0;2;33500;18;11;0;5125;1
23;0;0;2;7500;5;16;0;7175;0
25;0;1;1;3400;7;23;34;5638;0
59;1;1;0;18100;15;2;30;2819;1
31;0;1;2;21000;12;18;32;4715;1
37;1;1;1;7000;14;22;0;2323;0
25;1;1;0;11500;7;16;0;4408;1
33;0;1;1;4000;15;5;0;2204;0
